topic,condition,receiver,source,retention_rate
dmg,bear,White,Red,0.2500
dmg,bear,White,Black,1.2500
dmg,bear,White,Yellow,0.0000
dmg,bear,White,Green,0.0000
dmg,bear,White,Blue,0.1111
dmg,bear,Red,White,0.0000
dmg,bear,Red,Black,1.0000
dmg,bear,Red,Yellow,0.5000
dmg,bear,Red,Green,0.3333
dmg,bear,Red,Blue,0.0000
dmg,bear,Black,White,0.6667
dmg,bear,Black,Red,0.5000
dmg,bear,Black,Yellow,0.5000
dmg,bear,Black,Green,0.3333
dmg,bear,Black,Blue,0.0000
dmg,bear,Yellow,White,0.3333
dmg,bear,Yellow,Red,0.7500
dmg,bear,Yellow,Black,0.7500
dmg,bear,Yellow,Green,0.0000
dmg,bear,Yellow,Blue,0.1111
dmg,bear,Green,White,0.5000
dmg,bear,Green,Red,0.2500
dmg,bear,Green,Black,0.7500
dmg,bear,Green,Yellow,0.3333
dmg,bear,Green,Blue,0.0000
dmg,bear,Blue,White,0.3333
dmg,bear,Blue,Red,0.0000
dmg,bear,Blue,Black,0.5000
dmg,bear,Blue,Yellow,0.0000
dmg,bear,Blue,Green,0.0000
stroke,bear,White,Red,0.2000
stroke,bear,White,Black,0.3333
stroke,bear,White,Yellow,0.0000
stroke,bear,White,Green,1.0000
stroke,bear,White,Blue,0.1250
stroke,bear,Red,White,0.2857
stroke,bear,Red,Black,0.6667
stroke,bear,Red,Yellow,0.2000
stroke,bear,Red,Green,0.4000
stroke,bear,Red,Blue,0.0000
stroke,bear,Black,White,0.8571
stroke,bear,Black,Red,0.4000
stroke,bear,Black,Yellow,0.4000
stroke,bear,Black,Green,1.4000
stroke,bear,Black,Blue,0.3750
stroke,bear,Yellow,White,0.8571
stroke,bear,Yellow,Red,0.2000
stroke,bear,Yellow,Black,0.0000
stroke,bear,Yellow,Green,1.6000
stroke,bear,Yellow,Blue,0.0000
stroke,bear,Green,White,0.5714
stroke,bear,Green,Red,0.4000
stroke,bear,Green,Black,0.6667
stroke,bear,Green,Yellow,0.2000
stroke,bear,Green,Blue,0.1250
stroke,bear,Blue,White,0.2857
stroke,bear,Blue,Red,0.2000
stroke,bear,Blue,Black,0.0000
stroke,bear,Blue,Yellow,0.4000
stroke,bear,Blue,Green,0.2000
ms,bear,White,Red,0.0000
ms,bear,White,Black,0.6667
ms,bear,White,Yellow,0.0000
ms,bear,White,Green,0.2500
ms,bear,White,Blue,0.1250
ms,bear,Red,White,0.7143
ms,bear,Red,Black,0.6667
ms,bear,Red,Yellow,0.1667
ms,bear,Red,Green,0.2500
ms,bear,Red,Blue,0.1250
ms,bear,Black,White,1.1429
ms,bear,Black,Red,0.2000
ms,bear,Black,Yellow,0.1667
ms,bear,Black,Green,0.0000
ms,bear,Black,Blue,0.2500
ms,bear,Yellow,White,0.2857
ms,bear,Yellow,Red,0.0000
ms,bear,Yellow,Black,0.3333
ms,bear,Yellow,Green,0.5000
ms,bear,Yellow,Blue,0.0000
ms,bear,Green,White,0.8571
ms,bear,Green,Red,0.0000
ms,bear,Green,Black,0.6667
ms,bear,Green,Yellow,0.0000
ms,bear,Green,Blue,0.1250
ms,bear,Blue,White,0.1429
ms,bear,Blue,Red,0.2000
ms,bear,Blue,Black,0.0000
ms,bear,Blue,Yellow,0.1667
ms,bear,Blue,Green,0.0000
alzheimers,bear,White,Red,0.2000
alzheimers,bear,White,Black,0.7500
alzheimers,bear,White,Yellow,0.0000
alzheimers,bear,White,Green,0.0000
alzheimers,bear,White,Blue,0.1000
alzheimers,bear,Red,White,0.6000
alzheimers,bear,Red,Black,1.0000
alzheimers,bear,Red,Yellow,0.5000
alzheimers,bear,Red,Green,0.0000
alzheimers,bear,Red,Blue,0.0000
alzheimers,bear,Black,White,0.8000
alzheimers,bear,Black,Red,0.4000
alzheimers,bear,Black,Yellow,0.5000
alzheimers,bear,Black,Green,0.0000
alzheimers,bear,Black,Blue,0.2000
alzheimers,bear,Yellow,White,0.6000
alzheimers,bear,Yellow,Red,0.6000
alzheimers,bear,Yellow,Black,0.7500
alzheimers,bear,Yellow,Green,0.0000
alzheimers,bear,Yellow,Blue,0.1000
alzheimers,bear,Green,White,0.8000
alzheimers,bear,Green,Red,0.6000
alzheimers,bear,Green,Black,0.5000
alzheimers,bear,Green,Yellow,0.1667
alzheimers,bear,Green,Blue,0.1000
alzheimers,bear,Blue,White,0.0000
alzheimers,bear,Blue,Red,0.4000
alzheimers,bear,Blue,Black,0.5000
alzheimers,bear,Blue,Yellow,0.0000
alzheimers,bear,Blue,Green,0.0000
epilepsy,bear,White,Red,0.5000
epilepsy,bear,White,Black,0.5000
epilepsy,bear,White,Yellow,0.2500
epilepsy,bear,White,Green,0.0000
epilepsy,bear,White,Blue,0.0000
epilepsy,bear,Red,White,0.3750
epilepsy,bear,Red,Black,1.5000
epilepsy,bear,Red,Yellow,0.2500
epilepsy,bear,Red,Green,0.2000
epilepsy,bear,Red,Blue,0.0000
epilepsy,bear,Black,White,0.6250
epilepsy,bear,Black,Red,0.3333
epilepsy,bear,Black,Yellow,0.2500
epilepsy,bear,Black,Green,0.2000
epilepsy,bear,Black,Blue,0.0000
epilepsy,bear,Yellow,White,0.6250
epilepsy,bear,Yellow,Red,0.5000
epilepsy,bear,Yellow,Black,0.5000
epilepsy,bear,Yellow,Green,0.8000
epilepsy,bear,Yellow,Blue,0.0000
epilepsy,bear,Green,White,0.3750
epilepsy,bear,Green,Red,0.5000
epilepsy,bear,Green,Black,0.5000
epilepsy,bear,Green,Yellow,0.5000
epilepsy,bear,Green,Blue,0.0000
epilepsy,bear,Blue,White,0.2500
epilepsy,bear,Blue,Red,0.5000
epilepsy,bear,Blue,Black,0.0000
epilepsy,bear,Blue,Yellow,0.0000
epilepsy,bear,Blue,Green,0.0000
glp1,bear,White,Red,0.0000
glp1,bear,White,Black,0.0000
glp1,bear,White,Yellow,0.0000
glp1,bear,White,Green,0.0000
glp1,bear,White,Blue,0.1250
glp1,bear,Red,White,0.2222
glp1,bear,Red,Black,0.5000
glp1,bear,Red,Yellow,0.0000
glp1,bear,Red,Green,0.2500
glp1,bear,Red,Blue,0.0000
glp1,bear,Black,White,0.3333
glp1,bear,Black,Red,0.1667
glp1,bear,Black,Yellow,0.0000
glp1,bear,Black,Green,0.2500
glp1,bear,Black,Blue,0.2500
glp1,bear,Yellow,White,0.4444
glp1,bear,Yellow,Red,0.0000
glp1,bear,Yellow,Black,0.0000
glp1,bear,Yellow,Green,0.5000
glp1,bear,Yellow,Blue,0.2500
glp1,bear,Green,White,0.3333
glp1,bear,Green,Red,0.0000
glp1,bear,Green,Black,0.5000
glp1,bear,Green,Yellow,0.0000
glp1,bear,Green,Blue,0.0000
glp1,bear,Blue,White,0.5556
glp1,bear,Blue,Red,0.1667
glp1,bear,Blue,Black,0.5000
glp1,bear,Blue,Yellow,0.0000
glp1,bear,Blue,Green,0.0000
crispr,bear,White,Red,0.2000
crispr,bear,White,Black,0.6667
crispr,bear,White,Yellow,0.0000
crispr,bear,White,Green,0.0000
crispr,bear,White,Blue,0.1000
crispr,bear,Red,White,0.2500
crispr,bear,Red,Black,1.6667
crispr,bear,Red,Yellow,0.0000
crispr,bear,Red,Green,0.3333
crispr,bear,Red,Blue,0.0000
crispr,bear,Black,White,1.0000
crispr,bear,Black,Red,0.4000
crispr,bear,Black,Yellow,0.6667
crispr,bear,Black,Green,0.6667
crispr,bear,Black,Blue,0.1000
crispr,bear,Yellow,White,0.2500
crispr,bear,Yellow,Red,0.4000
crispr,bear,Yellow,Black,0.6667
crispr,bear,Yellow,Green,0.6667
crispr,bear,Yellow,Blue,0.1000
crispr,bear,Green,White,0.3750
crispr,bear,Green,Red,0.2000
crispr,bear,Green,Black,1.3333
crispr,bear,Green,Yellow,0.0000
crispr,bear,Green,Blue,0.2000
crispr,bear,Blue,White,0.1250
crispr,bear,Blue,Red,0.4000
crispr,bear,Blue,Black,0.0000
crispr,bear,Blue,Yellow,0.6667
crispr,bear,Blue,Green,0.3333
llm-cds,bear,White,Red,0.2000
llm-cds,bear,White,Black,0.3333
llm-cds,bear,White,Yellow,0.0000
llm-cds,bear,White,Blue,0.0000
llm-cds,bear,Red,White,0.1818
llm-cds,bear,Red,Black,1.3333
llm-cds,bear,Red,Yellow,0.2000
llm-cds,bear,Red,Blue,0.0000
llm-cds,bear,Black,White,0.7273
llm-cds,bear,Black,Red,0.6000
llm-cds,bear,Black,Yellow,0.6000
llm-cds,bear,Black,Blue,0.2500
llm-cds,bear,Yellow,White,0.4545
llm-cds,bear,Yellow,Red,0.4000
llm-cds,bear,Yellow,Black,0.0000
llm-cds,bear,Yellow,Blue,0.1250
llm-cds,bear,Green,White,0.4545
llm-cds,bear,Green,Red,0.2000
llm-cds,bear,Green,Black,1.0000
llm-cds,bear,Green,Yellow,0.4000
llm-cds,bear,Green,Blue,0.0000
llm-cds,bear,Blue,White,0.1818
llm-cds,bear,Blue,Red,0.4000
llm-cds,bear,Blue,Black,0.3333
llm-cds,bear,Blue,Yellow,0.0000
dmg,naive,White,Red,1.0000
dmg,naive,White,Black,1.0000
dmg,naive,White,Yellow,1.0000
dmg,naive,White,Green,0.3333
dmg,naive,White,Blue,0.8750
dmg,naive,Red,White,0.6667
dmg,naive,Red,Black,0.8333
dmg,naive,Red,Yellow,0.8000
dmg,naive,Red,Green,0.0000
dmg,naive,Red,Blue,0.6250
dmg,naive,Black,White,0.6667
dmg,naive,Black,Red,0.8000
dmg,naive,Black,Yellow,0.8000
dmg,naive,Black,Green,0.0000
dmg,naive,Black,Blue,0.7500
dmg,naive,Yellow,White,0.6667
dmg,naive,Yellow,Red,0.8000
dmg,naive,Yellow,Black,0.8333
dmg,naive,Yellow,Green,0.0000
dmg,naive,Yellow,Blue,0.6250
dmg,naive,Green,White,0.6667
dmg,naive,Green,Red,0.8000
dmg,naive,Green,Black,1.0000
dmg,naive,Green,Yellow,0.8000
dmg,naive,Green,Blue,0.7500
dmg,naive,Blue,White,0.6667
dmg,naive,Blue,Red,0.8000
dmg,naive,Blue,Black,1.0000
dmg,naive,Blue,Yellow,0.8000
dmg,naive,Blue,Green,0.0000
stroke,naive,White,Red,0.3333
stroke,naive,White,Black,0.0000
stroke,naive,White,Yellow,0.6667
stroke,naive,White,Green,0.8333
stroke,naive,White,Blue,0.8000
stroke,naive,Red,White,0.8750
stroke,naive,Red,Black,0.0000
stroke,naive,Red,Yellow,0.6667
stroke,naive,Red,Green,0.8333
stroke,naive,Red,Blue,0.8000
stroke,naive,Black,White,0.8750
stroke,naive,Black,Red,0.3333
stroke,naive,Black,Yellow,0.6667
stroke,naive,Black,Green,0.6667
stroke,naive,Black,Blue,0.8000
stroke,naive,Yellow,White,0.8750
stroke,naive,Yellow,Red,0.3333
stroke,naive,Yellow,Black,0.5000
stroke,naive,Yellow,Green,0.8333
stroke,naive,Yellow,Blue,1.0000
stroke,naive,Green,White,0.8750
stroke,naive,Green,Red,0.3333
stroke,naive,Green,Black,0.0000
stroke,naive,Green,Yellow,1.0000
stroke,naive,Green,Blue,1.0000
stroke,naive,Blue,White,0.8750
stroke,naive,Blue,Red,0.3333
stroke,naive,Blue,Black,0.0000
stroke,naive,Blue,Yellow,0.8333
stroke,naive,Blue,Green,0.8333
ms,naive,White,Red,1.0000
ms,naive,White,Black,0.7500
ms,naive,White,Yellow,0.6667
ms,naive,White,Green,0.7500
ms,naive,White,Blue,0.5556
ms,naive,Red,White,1.0000
ms,naive,Red,Black,0.7500
ms,naive,Red,Yellow,1.0000
ms,naive,Red,Green,0.7500
ms,naive,Red,Blue,0.6667
ms,naive,Black,White,1.0000
ms,naive,Black,Red,1.0000
ms,naive,Black,Yellow,1.0000
ms,naive,Black,Green,0.7500
ms,naive,Black,Blue,0.6667
ms,naive,Yellow,White,1.0000
ms,naive,Yellow,Red,1.0000
ms,naive,Yellow,Black,0.7500
ms,naive,Yellow,Green,0.5000
ms,naive,Yellow,Blue,0.4444
ms,naive,Green,White,1.0000
ms,naive,Green,Red,1.0000
ms,naive,Green,Black,0.7500
ms,naive,Green,Yellow,1.0000
ms,naive,Green,Blue,0.6667
ms,naive,Blue,White,1.0000
ms,naive,Blue,Red,1.0000
ms,naive,Blue,Black,0.7500
ms,naive,Blue,Yellow,0.6667
ms,naive,Blue,Green,0.5000
alzheimers,naive,White,Red,0.5000
alzheimers,naive,White,Black,0.0000
alzheimers,naive,White,Yellow,1.0000
alzheimers,naive,White,Green,0.8333
alzheimers,naive,White,Blue,0.6250
alzheimers,naive,Red,White,0.7500
alzheimers,naive,Red,Black,1.0000
alzheimers,naive,Red,Yellow,1.0000
alzheimers,naive,Red,Green,0.8333
alzheimers,naive,Red,Blue,0.7500
alzheimers,naive,Black,White,0.7500
alzheimers,naive,Black,Red,0.5000
alzheimers,naive,Black,Yellow,1.0000
alzheimers,naive,Black,Green,0.8333
alzheimers,naive,Black,Blue,0.6250
alzheimers,naive,Yellow,White,0.7500
alzheimers,naive,Yellow,Red,0.5000
alzheimers,naive,Yellow,Black,0.0000
alzheimers,naive,Yellow,Green,0.8333
alzheimers,naive,Yellow,Blue,0.6250
alzheimers,naive,Green,White,0.7500
alzheimers,naive,Green,Red,0.5000
alzheimers,naive,Green,Black,0.0000
alzheimers,naive,Green,Yellow,1.0000
alzheimers,naive,Green,Blue,0.5000
alzheimers,naive,Blue,White,0.6250
alzheimers,naive,Blue,Red,0.5000
alzheimers,naive,Blue,Black,0.0000
alzheimers,naive,Blue,Yellow,1.0000
alzheimers,naive,Blue,Green,0.8333
epilepsy,naive,White,Red,0.8889
epilepsy,naive,White,Black,0.3333
epilepsy,naive,White,Yellow,0.6000
epilepsy,naive,White,Green,0.6667
epilepsy,naive,White,Blue,0.5000
epilepsy,naive,Red,White,1.0000
epilepsy,naive,Red,Black,1.0000
epilepsy,naive,Red,Yellow,0.8000
epilepsy,naive,Red,Green,0.6667
epilepsy,naive,Red,Blue,0.5000
epilepsy,naive,Black,White,1.0000
epilepsy,naive,Black,Red,0.8889
epilepsy,naive,Black,Yellow,0.8000
epilepsy,naive,Black,Green,0.6667
epilepsy,naive,Black,Blue,0.6250
epilepsy,naive,Yellow,White,1.0000
epilepsy,naive,Yellow,Red,0.8889
epilepsy,naive,Yellow,Black,1.0000
epilepsy,naive,Yellow,Green,0.6667
epilepsy,naive,Yellow,Blue,0.7500
epilepsy,naive,Green,White,1.0000
epilepsy,naive,Green,Red,0.8889
epilepsy,naive,Green,Black,1.0000
epilepsy,naive,Green,Yellow,0.8000
epilepsy,naive,Green,Blue,0.5000
epilepsy,naive,Blue,White,0.8000
epilepsy,naive,Blue,Red,0.8889
epilepsy,naive,Blue,Black,0.3333
epilepsy,naive,Blue,Yellow,0.6000
epilepsy,naive,Blue,Green,0.6667
glp1,naive,White,Red,0.8571
glp1,naive,White,Black,0.0000
glp1,naive,White,Yellow,0.6667
glp1,naive,White,Green,0.5714
glp1,naive,White,Blue,0.5714
glp1,naive,Red,White,1.0000
glp1,naive,Red,Black,0.0000
glp1,naive,Red,Yellow,0.6667
glp1,naive,Red,Green,0.5714
glp1,naive,Red,Blue,0.7143
glp1,naive,Black,White,1.0000
glp1,naive,Black,Red,0.8571
glp1,naive,Black,Yellow,0.6667
glp1,naive,Black,Green,0.5714
glp1,naive,Black,Blue,0.7143
glp1,naive,Yellow,White,0.8000
glp1,naive,Yellow,Red,0.8571
glp1,naive,Yellow,Black,0.0000
glp1,naive,Yellow,Green,0.5714
glp1,naive,Yellow,Blue,0.5714
glp1,naive,Green,White,0.8000
glp1,naive,Green,Red,0.8571
glp1,naive,Green,Black,0.0000
glp1,naive,Green,Yellow,0.6667
glp1,naive,Green,Blue,0.5714
glp1,naive,Blue,White,0.8000
glp1,naive,Blue,Red,0.8571
glp1,naive,Blue,Black,0.0000
glp1,naive,Blue,Yellow,0.6667
glp1,naive,Blue,Green,0.5714
crispr,naive,White,Red,1.0000
crispr,naive,White,Black,1.0000
crispr,naive,White,Yellow,0.6000
crispr,naive,White,Green,0.8000
crispr,naive,White,Blue,0.8889
crispr,naive,Red,White,0.8000
crispr,naive,Red,Black,1.0000
crispr,naive,Red,Yellow,0.4000
crispr,naive,Red,Green,0.8000
crispr,naive,Red,Blue,0.6667
crispr,naive,Black,White,0.8000
crispr,naive,Black,Red,1.0000
crispr,naive,Black,Yellow,0.4000
crispr,naive,Black,Green,0.8000
crispr,naive,Black,Blue,0.7778
