topic,condition,session,store_items_per_hat,store_n_hats,store_centroid,store_nn_similarity,store_nn_overlap,store_null_mean,store_null_sd,store_z,store_p,store_centroid_at_2,store_centroid_at_4,store_centroid_at_6,response_items_per_hat,response_n_hats,response_centroid,response_nn_similarity,response_nn_overlap,response_null_mean,response_null_sd,response_z,response_p
crispr,naive,paper-review_20260919_205400.md,254.0,6,9.981791178385417e-05,0.9958060026168823,0.9863516812347429,0.0018617374698321025,0.0002283278218315912,-7.71662228419888,0.000999000999000999,5.960464477539063e-08,0.0,0.0,8.166666666666666,6,0.11154014666875203,0.7765499512354533,0.1171957671957672,0.04797022912899654,0.005071201862892046,12.535473692128344,0.000999000999000999
crispr,bear,paper-review_20260919_203234.md,279.6666666666667,6,0.05110303163528442,0.7880637089411417,0.2827580308442773,0.0033918397347132362,0.0003276499483287904,145.6163571638776,0.000999000999000999,0.19175100326538086,0.14584673245747884,0.12735626300175984,19.5,6,0.08692320187886556,0.792098613580068,0.1354551233155352,0.020286130905151366,0.0020904910421646883,31.876276735781648,0.000999000999000999
crispr,wrong-lens,paper-review_20260919_210544.md,289.0,6,0.05212756395339966,0.7853917757670085,0.27248302110842726,0.003186579144001007,0.0003060171207816275,159.92891078902323,0.000999000999000999,0.23039881388346353,0.15359369119008381,0.12141579786936442,20.0,6,0.07733294566472372,0.791343895594279,0.17646822013829688,0.02005480029980342,0.002107792554935596,27.17446991204049,0.000999000999000999
dti-ad,naive,paper-review_20260919_174921.md,196.0,6,0.00014257431030273438,0.9950140515963236,0.9847274831649832,0.0017899742245674132,0.00018402643647691172,-8.951974215244691,0.000999000999000999,0.0,5.1657358805338543e-08,0.0,8.166666666666666,6,0.110702645778656,0.7826448400815328,0.12462722462722463,0.0430757825811704,0.004369196462044416,15.47810078694468,0.000999000999000999
dti-ad,bear,paper-review_20260919_173332.md,165.5,6,0.05934300025304159,0.7810749729474386,0.2192719711755547,0.0043656626025835674,0.00041393451139675537,132.81651115522078,0.000999000999000999,0.20733505884806316,0.17248985767364503,0.13390392462412518,14.666666666666666,6,0.10576684474945068,0.7896089196205139,0.13530148901665928,0.024842867493629454,0.002817310660240382,28.72383880055192,0.000999000999000999
dti-ad,wrong-lens,paper-review_20260919_180020.md,173.66666666666666,6,0.0592077374458313,0.7790580034255982,0.21481602717196224,0.004294960447152456,0.0004042682247021868,135.8325330642337,0.000999000999000999,0.1781917373339335,0.1570262312889099,0.13869787057240804,15.0,6,0.08790057102839152,0.7707628925641378,0.055412685010208226,0.029271920426686606,0.0030762394993560705,19.05854554366696,0.000999000999000999
glp1,naive,paper-review_20260919_214359.md,187.0,6,0.00023333628972371418,0.9947497725486756,0.9838912805407652,0.002134259247779846,0.00025529461839929817,-7.44599698174193,0.000999000999000999,0.0,1.7881393432617188e-07,1.1920928955078125e-07,8.166666666666666,6,0.09505649407704671,0.8039743264516195,0.21363636363636365,0.046990099422136944,0.006022084940343706,7.981686597095126,0.000999000999000999
glp1,bear,paper-review_20260919_212659.md,185.83333333333334,6,0.04501168727874756,0.8034214496612548,0.3215875809671719,0.004451749118169149,0.0004637777752409155,87.45554514661471,0.000999000999000999,0.31211084922154747,0.2157652219136556,0.1598534067471822,15.833333333333334,6,0.09299163420995077,0.7829149007797241,0.12087301587301585,0.026093613568941753,0.002518125779872694,26.56659217570581,0.000999000999000999
glp1,wrong-lens,paper-review_20260919_215434.md,195.33333333333334,6,0.0426438053448995,0.8030795892079671,0.3164366520816,0.0041804617166519165,0.0004383780500127536,87.74012208669795,0.000999000999000999,0.26549535195032753,0.17033328612645468,0.1409178415934245,15.666666666666666,6,0.08392605384190878,0.7922980666160584,0.1413901458019105,0.024570459191004437,0.002385957974501098,24.877049506002113,0.000999000999000999
llm-cds,naive,paper-review_20260919_200331.md,249.0,6,0.00010641018549601237,0.9958361585934957,0.9877042520116781,0.0019143781661987306,0.00019645162364255965,-9.203120580933883,0.000999000999000999,0.0,0.0,0.0,8.166666666666666,6,0.1273372491200765,0.7660918951034545,0.1076010101010101,0.04594585885206858,0.004844790327519687,16.79977558691928,0.000999000999000999
llm-cds,bear,paper-review_20260919_194538.md,211.0,6,0.0570391058921814,0.7617923259735108,0.1865946958064175,0.004181051329771677,0.00036796853457520337,143.64830031847976,0.000999000999000999,0.24651623964309693,0.1428949276606242,0.13025024731953938,17.0,6,0.10004510879516601,0.7720744609832764,0.06229497354497355,0.02372072000900904,0.002329024244833601,32.77097220239973,0.000999000999000999
llm-cds,wrong-lens,paper-review_20260919_201521.md,216.83333333333334,6,0.05865488847096761,0.7650666236877441,0.1919713256523622,0.004045046059290568,0.0003435436615062071,158.96041327687357,0.000999000999000999,0.2681671182314555,0.16403546333312988,0.12371422052383423,15.833333333333334,6,0.09102060794830322,0.7874485731124878,0.10359907120743035,0.023786256968975066,0.002388297929695597,28.15157612597251,0.000999000999000999
ms,naive,paper-review_20260919_191625.md,230.0,6,0.00012265841166178386,0.9950759927431743,0.9850724637681159,0.002048524900277456,0.0002376571440943315,-8.103549741602768,0.000999000999000999,5.960464477539063e-08,0.0,0.0,8.333333333333334,6,0.11294765472412109,0.7735218326250712,0.13861111111111107,0.05120335386196772,0.005669412733526158,10.89077542318052,0.000999000999000999
ms,bear,paper-review_20260919_185740.md,220.33333333333334,6,0.049799203872680664,0.7842311342557271,0.251735660230594,0.003905108539263407,0.0003681138384706717,124.6736485758976,0.000999000999000999,0.20330214897791546,0.15235555171966553,0.15272568861643473,17.166666666666668,6,0.07963920036951701,0.7922007044156393,0.2041671808583573,0.022352615336577095,0.002218644896069866,25.820529069080887,0.000999000999000999
ms,wrong-lens,paper-review_20260919_192750.md,226.33333333333334,6,0.051693276564280195,0.7802623788515727,0.24639075695494397,0.0038099819660186766,0.0003538727334025529,135.31219017033223,0.000999000999000999,0.2807138125101725,0.21906969944636026,0.20942835807800292,16.333333333333332,6,0.08986235857009887,0.7721620678901673,0.1085958485958486,0.027736938484509786,0.002820686585601137,22.024928399604203,0.000999000999000999
parkinsons,naive,paper-review_20260919_183215.md,162.0,6,0.00020256837209065755,0.9936046481132508,0.9779779349510896,0.002935549736022949,0.0003603895882480099,-7.58340821447797,0.000999000999000999,1.1920928955078125e-07,0.0,0.0,8.166666666666666,6,0.09664092461268108,0.7867663741111756,0.09702380952380954,0.04546830180088679,0.004801832715340086,10.65689411634783,0.000999000999000999
parkinsons,bear,paper-review_20260919_181629.md,154.0,6,0.04427319367726644,0.7834747791290283,0.22934026028772483,0.00552650237083435,0.0005658970270868858,68.46950850032131,0.000999000999000999,0.25009793043136597,0.1870835026105245,0.1426520625750224,14.666666666666666,6,0.10689905881881714,0.7624669035275777,0.07295991590109237,0.03186401076714198,0.0032853348167354995,22.839391488942475,0.000999000999000999
parkinsons,wrong-lens,paper-review_20260919_184239.md,156.66666666666666,6,0.04593671560287475,0.7817512234052022,0.2326634156432119,0.005467519497871398,0.0005779687143615574,70.01970020073995,0.000999000999000999,0.19890055656433106,0.1345815380414327,0.1051916519800822,14.0,6,0.11240561405817667,0.7711341142654419,0.10998288204170556,0.029467001016934717,0.003103040106807757,26.728179522811516,0.000999000999000999
