topic,condition,session,store_items_per_hat,store_n_hats,store_centroid,store_nn_similarity,store_nn_overlap,store_null_mean,store_null_sd,store_z,store_p,store_centroid_at_2,store_centroid_at_4,store_centroid_at_6,response_items_per_hat,response_n_hats,response_centroid,response_nn_similarity,response_nn_overlap,response_null_mean,response_null_sd,response_z,response_p
dmg,naive,brainstorming-hats_20260916_134310.md,19.0,6,0.01269845167795817,0.9505478898684184,0.7796296296296297,0.02147096181313197,0.0036330139467638453,-2.414664590811172,0.01898101898101898,0.04025545120239258,0.025642247994740804,0.026200405756632485,4.833333333333333,6,0.18116830984751384,0.7236628969510396,0.014814814814814814,0.10996634250879288,0.014517542307928556,4.90454691493029,0.000999000999000999
dmg,bear,brainstorming-hats_20260916_133551.md,7.833333333333333,6,0.11728131771087646,0.7269080559412638,0.03944444444444444,0.07041411312818528,0.006276765681274087,7.466776196937443,0.000999000999000999,0.23455560207366943,0.1580675999323527,0.1325052261352539,4.666666666666667,6,0.14169719616572063,0.7372690041859945,0.03833333333333333,0.10304398761192957,0.012103839586230836,3.193466691161574,0.00999000999000999
dmg,wrong-lens,brainstorming-hats_20260916_135029.md,8.5,6,0.12673941453297932,0.723835829893748,0.07539682539682539,0.06945456461509068,0.006752755898938893,8.483180907944591,0.000999000999000999,0.25381932258605955,0.16100681225458782,0.1394605835278829,4.833333333333333,6,0.16058131059010824,0.7236483971277873,0.025,0.10974877723058066,0.011276151316252035,4.50796836029186,0.000999000999000999
stroke,naive,brainstorming-hats_20260916_140545.md,19.0,6,0.013008701801300048,0.9404830773671468,0.7972222222222222,0.027660137983163198,0.004139998710746086,-3.538995348919506,0.001998001998001998,0.0490626335144043,0.029402907689412436,0.021354091167449952,5.0,6,0.15172940889994305,0.7267008860905965,0.08761904761904762,0.12597416866223016,0.014925686853279607,1.7255648259867997,0.08091908091908091
stroke,bear,brainstorming-hats_20260916_135757.md,11.166666666666666,6,0.10525612831115723,0.7198562860488892,0.03924603174603174,0.06121281263828277,0.005663296816363775,7.776974631739907,0.000999000999000999,0.22239431142807006,0.17217559814453126,0.14852368831634521,5.166666666666667,6,0.1714702844619751,0.6985448082288106,0.012037037037037037,0.11988788520097732,0.011301670750087771,4.564139267691654,0.000999000999000999
stroke,wrong-lens,brainstorming-hats_20260916_141316.md,9.333333333333334,6,0.12102768023808798,0.7171405911445617,0.03033189033189033,0.070985742465655,0.006798961204182244,7.360232875229628,0.000999000999000999,0.2747107148170471,0.1620433489481608,0.1422752857208252,4.833333333333333,6,0.15420010487238567,0.7139077226320902,0.03444444444444444,0.1023714470187823,0.011008517306643106,4.708050721992079,0.000999000999000999
ms,naive,brainstorming-hats_20260916_142829.md,18.0,6,0.007621645927429199,0.9531952500343323,0.8444444444444444,0.024339861186345416,0.003791374776041379,-4.409539084493227,0.002997002997002997,0.07633763154347738,0.046639267603556314,0.025573082764943442,4.833333333333333,6,0.14609944025675456,0.7351846019426982,0.10158730158730159,0.11011225743691125,0.014653071243148023,2.4559481232763,0.01998001998001998
ms,bear,brainstorming-hats_20260916_142035.md,9.5,6,0.10335417588551839,0.7569816907246908,0.13087283087283086,0.07880643980900447,0.008814528621326891,2.784917620792595,0.015984015984015984,0.21502230962117513,0.1149610459804535,0.10170875191688537,5.5,6,0.14557555119196575,0.7181321104367574,0.008333333333333333,0.10006248919566474,0.009065311764592196,5.0205732773657585,0.000999000999000999
ms,wrong-lens,brainstorming-hats_20260916_143548.md,8.833333333333334,6,0.10781153837839762,0.7227927684783936,0.01810966810966811,0.06723878971338272,0.006303402562875833,6.436642473696648,0.000999000999000999,0.2613798181215922,0.1814858873685201,0.14680994351704915,5.0,6,0.17410586675008138,0.7079104463259379,0.0,0.11636487261454263,0.013110610394769916,4.404142324187498,0.000999000999000999
alzheimers,naive,brainstorming-hats_20260916_145054.md,19.0,6,0.012920780976613363,0.9377285997072856,0.749537037037037,0.027522029729684195,0.004375909172083984,-3.3367348769986305,0.004995004995004995,0.08159485260645548,0.05108749469121297,0.0345501184463501,5.0,6,0.18130665222803752,0.7102691094080608,0.02888888888888889,0.11883662401040397,0.013538876627761274,4.61412197889001,0.000999000999000999
